step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
41263,2023-07-03 15:20:07.880242277,1,192.21,151.0,-0.25072060187058387,0.2341600018705839,0.0,0.0165606
41265,2023-07-03 15:20:10.479305413,2,192.21,60.0,-0.11506197612860206,0.09836687612860205,0.0,0.0166951
41267,2023-07-03 15:20:10.479305413,2,192.21,192.0,-0.2480838799789031,0.23138877997890311,0.0,0.0166951
41268,2023-07-03 15:20:10.479424491,1,192.21,131.0,-0.12127393635882071,0.10471953635882071,0.0,0.0165544
41269,2023-07-03 15:20:10.479424491,2,192.21,251.0,-0.40507243070266374,0.3885180307026637,0.0,0.0165544
41270,2023-07-03 15:20:10.479884651,2,192.21,169.0,-0.20477172742166688,0.18835822742166689,0.0,0.0164135
41274,2023-07-03 15:20:10.481631209,2,192.22,244.0,-0.27061988204301574,0.25398218204301576,0.0,0.0166377
41275,2023-07-03 15:20:10.481631209,1,192.22,145.0,-0.27061988204301574,0.25398218204301576,0.0,0.0166377
41277,2023-07-03 15:20:10.553574565,2,192.23,58.0,-0.09694341803554471,0.08031621803554471,0.0,0.0166272
41280,2023-07-03 15:20:10.561578431,2,192.24,63.0,-0.27091428204301576,0.25398218204301576,0.0,0.0169321
41283,2023-07-03 15:20:10.561578431,1,192.24,250.0,-0.05285060464463453,0.03591850464463453,0.0,0.0169321
41284,2023-07-03 15:20:10.567446133,2,192.25,173.0,-0.04220191820430158,0.025398218204301576,0.0,0.0168037
41286,2023-07-03 15:20:10.567446133,2,192.25,85.0,-0.27078588204301574,0.25398218204301576,0.0,0.0168037
41287,2023-07-03 15:20:10.567446133,2,192.25,223.0,-0.04220191820430158,0.025398218204301576,0.0,0.0168037
41289,2023-07-03 15:20:10.662508762,1,192.26,103.0,-0.27104158204301576,0.25398218204301576,0.0,0.0170594
41291,2023-07-03 15:20:10.669831027,1,192.26,207.0,-0.30007588167547483,0.2735471816754555,0.010000000000019327,0.0165287
41292,2023-07-03 15:20:10.669831027,2,192.26,101.0,-0.37104689369000454,0.3445181936899852,0.010000000000019327,0.0165287
41293,2023-07-03 15:20:11.637789517,1,192.265,108.0,-0.27543368204303964,0.25398218204301576,0.005000000000023874,0.0164515
41294,2023-07-03 15:20:14.334275894,2,192.275,254.0,-0.27591088204301123,0.25398218204301576,0.0049999999999954525,0.0169287
41299,2023-07-03 15:20:14.334275894,1,192.28,233.0,-0.19652122322317261,0.17959252322317262,0.0,0.0169287
41301,2023-07-03 15:20:15.237296315,1,192.29,126.0,-0.19648712322317263,0.17959252322317262,0.0,0.0168946
